feature;p_value
ExterQual;4.250289171585687e-34
KitchenQual;1.2820744991685297e-31
Heating;2.477753304101386e-24
BsmtQual;7.805558340542111e-22
BsmtCond;1.9050784157897297e-14
SaleType;4.560785392696702e-14
SaleCondition;5.613395680294345e-14
GarageQual;2.538428577754634e-13
ExterCond;9.869790306250171e-13
LotShape;4.724729155980402e-12
MSZoning;4.3483250606822396e-11
GarageFinish;1.0355886930923195e-09
Street;8.338870380464053e-09
Neighborhood;1.364960102688296e-08
BsmtExposure;1.0980067354518743e-07
Foundation;9.66452199704509e-06
CentralAir;1.2257126695737677e-05
FireplaceQu;0.00025643727323263203
LotConfig;0.045806211958033756
Electrical;0.055687991437252254
Condition2;0.07598640644469955
LandContour;0.08674645041917711
LandSlope;0.10508638737793884
GarageType;0.1324830638502916
MasVnrType;0.1519389355542077
Alley;0.20972415885759163
MiscFeature;0.23779471590496037
PoolQC;0.3007082761743609
HouseStyle;0.6482615179447816
Exterior2nd;0.8469189757654344
Fence;0.9141088546261399
BsmtFinType1;0.9728950558884571
PavedDrive;0.9912799626956017
HeatingQC;0.9995946871632676
Exterior1st;0.9999839433628513
GarageCond;0.999985676535125
BldgType;0.9999860714473023
BsmtFinType2;0.9999995053342521
Utilities;1.0
RoofMatl;1.0
Functional;1.0
Condition1;1.0
RoofStyle;1.0
